"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Toast Button","1","0","Toast button is visible with correct label","0"
"1","","0","Toast Button","0","0","Clicking button shows toast message","0"
