"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1177","testShouldDisplayToastButton","","2026-03-20","passed","2026-03-20","","com.example.testandroid.ui.ShowToastButtonTest","com.example.testandroid.ui.ShowToastButtonTest","testShouldDisplayToastButton"
"","63544","testShouldShowToastOnButtonClick","","2026-03-20","broken","2026-03-20","","com.example.testandroid.ui.ShowToastButtonTest","com.example.testandroid.ui.ShowToastButtonTest","testShouldShowToastOnButtonClick"
